RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
23,15699345,AP Gerasimov,510,Spain,Female,38,4,0,1,1,0,118913.53,1
24,15725773,AP Mosman,669,France,Male,46,3,0,2,0,1,8487.75,0
25,15625083,AP Yen,846,France,Female,38,5,0,1,1,1,187616.16,0
26,15738227,AP Maclean,577,France,Male,25,3,0,2,0,1,124508.29,0
27,15736852,AP Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0
28,15700808,AP Nebechi,571,France,Male,44,9,0,2,0,0,38433.35,0
29,15728729,AP McWilliams,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0
30,15656336,AP Lucciano,411,France,Male,29,0,59697.17,2,1,1,53483.21,0
31,15589511,AP Azikiwe,591,Spain,Female,39,3,0,3,1,0,140469.38,1
32,15706588,AP Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,156731.91,0
33,15750217,AP Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0
34,15659464,AP Maggard,520,Spain,Female,42,6,0,2,1,1,34410.55,0
35,15732999,AP Clements,722,Spain,Female,29,9,0,2,1,1,142033.07,0
36,15794207,AP Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1
37,15788484,AP Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0
38,15729635,AP Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0
39,15717462,AP Armstrong,850,France,Male,36,7,0,1,1,1,40812.9,0
40,15585804,AP Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0
41,15619396,AP Hsiao,472,Spain,Male,40,4,0,1,1,0,70154.22,0
42,15738184,AP Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1
43,15687982,AP Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83,0
44,15755232,AP Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1
45,15684207,AP Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0
46,15754885,AP Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0
47,15602316,AP Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1
48,15771609,AP Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1
49,15766241,AP Yin,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0
50,15771909,AP Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0
51,15616586,AP Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0
52,15768229,AP Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0
53,15683589,AP O'Brien,788,France,Female,33,5,0,2,0,0,116978.19,0
54,15702334,AP Parkhill,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1
55,15569626,AP Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1
56,15760897,AP Phillipps,619,France,Male,43,1,125211.92,1,1,1,113410.49,0
57,15630089,AP Tsao,656,France,Male,45,5,127864.4,1,1,0,87107.57,0
58,15647127,AP Endrizzi,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0
59,15623980,AP T'ien,511,Spain,Female,66,4,0,1,1,0,1643.11,1
60,15804807,AP Velazquez,614,France,Male,51,4,40685.92,1,1,1,46775.28,0
61,15651316,AP Hunter,742,Germany,Male,35,5,136857,1,0,0,84509.57,0
62,15773505,AP Clark,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0
63,15702050,AP Jeffrey,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0
64,15751244,AP Pirozzi,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0
65,15592497,AP Jackson,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0
66,15789520,AP Hammond,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0
67,15696097,AP Brownless,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0
68,15641618,AP Chibugo,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0
69,15638460,AP Glauert,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0
70,15755684,AP Pisano,675,France,Female,21,8,98373.26,1,1,0,18203,0
71,15703829,AP Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1
72,15620380,AP McKee,813,France,Male,29,6,0,1,1,0,33953.87,0
73,15812554,AP Palermo,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0
74,15779088,AP Ballard,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0
75,15770847,AP Wallace,519,France,Male,36,9,0,2,0,1,145562.4,0
76,15780997,AP Cavenagh,735,France,Female,21,1,178718.19,2,1,0,22388,0
77,15614085,AP Hu,664,France,Male,55,8,0,2,1,1,139161.64,0
78,15662121,AP Read,678,France,Female,32,9,0,1,1,1,148210.64,0
79,15575221,AP Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0
80,15803172,AP Postle,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0
81,15706057,AP Buley,665,France,Female,34,1,96645.54,2,0,0,171413.66,0
82,15663742,AP Leonard,777,France,Female,32,2,0,1,1,0,136458.19,1
83,15641768,AP Mills,543,France,Female,36,3,0,2,0,0,26019.59,0
84,15701200,AP Onyeorulu,506,France,Female,34,4,90307.62,1,1,1,159235.29,0
85,15738787,AP Beit,493,France,Female,46,4,0,2,1,0,1907.66,0
86,15805290,AP Ndukaku,652,Spain,Female,75,10,0,2,1,1,114675.75,0
87,15762454,AP Gant,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1
88,15625795,AP Rowley,729,France,Male,30,9,0,2,1,0,151869.35,0
89,15622933,AP Sharpe,646,France,Female,46,4,0,3,1,0,93251.42,1
90,15767990,AP Osborne,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0
91,15757571,AP Heap,647,Spain,Female,44,5,0,3,1,1,174205.22,1
92,15731547,AP Ritchie,808,France,Male,45,7,118626.55,2,1,0,147132.46,0
93,15809284,AP Cole,524,France,Female,36,10,0,2,1,0,109614.57,0
94,15640671,AP Capon,769,France,Male,29,8,0,2,1,1,172290.61,0
95,15677002,AP Capon,730,Spain,Male,42,4,0,2,0,1,85982.47,0
96,15699497,AP Fiorentini,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0
97,15738757,AP Graham,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0
98,15693719,AP Yuille,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0
99,15604384,AP Allard,710,Spain,Male,22,8,0,2,0,0,99645.04,0
100,15633095,AP Fanucci,413,France,Male,34,9,0,2,0,0,6534.18,0
101,15808618,AP Fu,665,France,Female,40,6,0,1,1,1,161848.03,0
102,15743228,AP Hung,623,France,Female,44,6,0,2,0,0,167162.43,0
103,15580182,AP Hung,738,France,Male,31,9,82674.15,1,1,0,41970.72,0
104,15776641,AP Bradley,528,Spain,Male,36,7,0,2,1,0,60536.56,0
105,15804955,AP Dunbabin,670,Spain,Female,65,1,0,1,1,1,177655.68,1
106,15613890,AP Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1
107,15599231,AP Stiger,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0
108,15812914,AP Parsons,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0
109,15602348,AP Walkom,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0
110,15744725,AP T'ang,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1
111,15803562,AP Eremenko,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0
112,15665826,AP Rowntree,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0
113,15715987,AP Thorpe,562,France,Male,42,2,100238.35,1,0,0,86797.41,0
114,15591136,AP Chiemela,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0
115,15609654,AP Fanucci,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1
116,15675558,AP Ko,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0
117,15705548,AP Welch,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0
118,15698064,AP Duncan,506,France,Female,41,1,0,2,1,0,31766.3,0
119,15661706,AP Chidozie,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1
120,15600817,AP Wu,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0
121,15682508,AP Culbreth,828,France,Male,34,8,129433.34,2,0,0,38131.77,0
122,15580239,AP Kennedy,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0
123,15690709,AP Cameron,656,France,Female,39,6,0,2,1,0,141069.88,0
124,15760121,AP Calabresi,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0
125,15779695,AP Zetticci,625,France,Female,28,3,0,1,0,0,183646.41,0
126,15627396,AP Fuller,432,France,Male,42,9,152603.45,1,1,0,110265.24,1
127,15671173,AP MacDonald,549,France,Female,52,1,0,1,0,1,8636.05,1
128,15782724,AP Piccio,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1
129,15575528,AP Kennedy,828,France,Female,41,7,0,2,1,0,171378.77,0
130,15591643,AP Fernie,770,France,Male,24,9,101827.07,1,1,0,167256.35,0
131,15740440,AP He,758,France,Female,34,3,0,2,1,1,124226.16,0
132,15718405,AP Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0
133,15677907,AP Cocci,687,France,Male,38,9,122570.87,1,1,1,35608.88,0
134,15642040,AP Alekseeva,686,France,Male,25,1,0,2,0,1,16459.37,0
135,15712579,AP Chinweike,789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0
136,15584554,AP Arthur,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0
137,15802417,AP Li,461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0
138,15610192,AP Ma,637,France,Male,40,2,133463.1,1,0,1,93165.34,0
139,15594444,AP Chia,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1
140,15640941,AP Vasin,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1
141,15698968,AP Groves,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0
142,15724980,AP Tien,663,France,Male,34,7,0,2,1,1,180427.24,0
143,15628181,AP Forwood,682,France,Female,43,5,125851.93,1,1,1,193318.33,0
144,15713519,AP Greeves,793,Spain,Male,52,2,0,1,1,0,159123.82,1
145,15612386,AP Taylor,691,France,Female,31,5,40915.55,1,1,0,126213.84,1
146,15800739,AP Madukwe,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0
147,15705743,AP Bennelong,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0
148,15754141,AP Olisanugo,650,France,Male,37,5,106967.18,1,0,0,24495.03,0
149,15703300,AP Chukwufumnanya,735,France,Male,44,9,120681.63,1,1,0,74836.34,0
150,15794449,AP Harris,416,France,Male,32,0,0,2,0,1,878.87,0
151,15650273,AP Morgan,754,Spain,Female,32,7,0,2,1,0,89520.75,0
152,15759654,AP Alexeeva,535,France,Female,48,9,0,1,1,0,149892.79,1
153,15811625,AP Metcalfe,716,Spain,Male,42,8,0,2,1,0,180800.42,0
154,15689080,AP Humphries,539,France,Male,37,2,127609.59,1,1,0,98646.22,0
155,15709404,AP Milne,614,France,Female,43,6,0,2,1,1,109041.53,0
156,15679181,AP Chou,706,Spain,Male,57,7,0,1,1,0,17941.16,1
157,15655043,AP Li,758,France,Female,33,7,0,2,0,0,82996.47,0
158,15623631,AP Clayton,586,Spain,Female,28,2,0,2,1,1,92067.35,0
159,15590011,AP Maclean,646,France,Female,73,6,97259.25,1,0,1,104719.66,0
160,15804053,AP Chigolum,631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0
161,15692168,AP Wilkinson,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0
162,15641158,AP Wei,684,France,Male,30,2,0,2,1,0,83473.82,0
163,15630946,AP Treacy,800,France,Female,49,7,108007.36,1,0,0,47125.11,0
164,15680808,AP Hu,721,Spain,Female,36,2,0,2,1,1,106977.8,0
165,15658965,AP Taverner,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1
166,15585424,AP Sherman,660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0
167,15724659,AP Taubman,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1
168,15588573,AP Robinson,615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0
169,15574728,AP Pinto,667,Spain,Female,39,2,0,2,1,0,40721.24,1
170,15611361,AP Wood,682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0
171,15587598,AP Hawkins,484,France,Female,29,4,130114.39,1,1,0,164017.89,0
172,15613208,AP Sun,628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0
173,15651058,AP Yost,480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1
174,15586346,AP Ting,578,France,Male,30,4,169462.09,1,1,0,112187.11,0
175,15625560,AP Rowe,512,France,Male,40,5,0,2,1,1,146457.83,0
176,15755245,AP Fu,484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0
177,15645284,AP Ho,510,France,Female,30,0,0,2,1,1,130553.47,0
178,15790391,AP Okechukwu,606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0
179,15762651,AP Campbell,597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0
180,15625462,AP Ashbolt,754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1
181,15716370,AP Rozier,850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0
182,15789705,AP Hsia,510,France,Male,65,2,0,2,1,1,48071.61,0
183,15621111,AP Ogbonnaya,778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0
184,15810881,AP T'ang,636,France,Male,42,2,0,2,1,1,55470.78,0
185,15719413,AP Cocci,804,France,Female,50,4,0,1,1,1,8546.87,1
186,15654542,AP Chang,514,France,Male,32,8,0,2,1,0,95857.18,0
187,15772013,AP T'ao,730,France,Female,39,1,99010.67,1,1,0,194945.8,0
188,15708746,AP Ford,525,Spain,Female,37,0,0,1,0,1,131521.72,0
189,15726712,AP Marshall,616,Spain,Male,30,5,0,2,0,1,196108.51,0
190,15587457,AP Tsai,687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0
191,15726967,AP Onwumelu,715,France,Female,41,8,56214.85,2,0,0,92982.61,1
192,15771122,AP Graham,512,France,Female,36,3,84327.77,2,1,0,17675.36,0
193,15756886,AP Golovanov,479,France,Male,40,1,0,2,0,0,114996.43,0
194,15702777,AP Potts,601,France,Male,32,8,93012.89,1,1,0,86957.42,0
195,15679236,AP Crawford,580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0
196,15594851,AP Aleshire,807,France,Male,35,3,174790.15,1,1,1,600.36,0
197,15635941,AP Moran,616,Spain,Female,32,6,0,2,1,1,43001.46,0
198,15777928,AP Samsonova,721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0
199,15656212,AP Jenkins,501,France,Male,57,10,0,2,1,1,47847.19,0
200,15811163,AP Volkov,521,France,Male,35,6,96423.84,1,1,0,10488.44,0
201,15604518,AP Chiemezie,850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0
202,15622947,AP Jude,759,France,Male,42,4,105420.18,1,0,1,121409.06,0
203,15601010,AP He,516,Spain,Male,50,5,0,1,0,1,146145.93,1
204,15727904,AP Onuora,711,France,Female,38,2,129022.06,2,1,1,14374.86,1
205,15627837,AP Ginikanwa,512,Spain,Male,33,3,176666.62,1,1,0,94670.77,0
206,15773075,AP Ku,550,France,Male,37,3,0,1,1,1,179670.31,0
207,15755298,AP McDonald,608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1
208,15679567,AP Collins,618,France,Male,34,5,134954.53,1,1,1,151954.39,0
209,15684217,AP Hackett,643,France,Male,45,5,0,1,1,0,142513.5,1
210,15612123,AP Dike,671,France,Male,45,2,106376.85,1,0,1,158264.62,0
211,15752083,AP Trevisano,689,Germany,Male,33,2,161814.64,2,1,0,169381.9,0
212,15624628,AP Tan,603,France,Male,31,8,0,2,1,1,169915.02,0
213,15573188,AP Glassman,620,France,Female,41,9,0,2,0,0,88852.47,0
214,15594953,AP Miller,676,France,Female,34,1,63095.01,1,1,1,40645.81,0
215,15785578,AP Kornilova,572,Germany,Male,26,4,118287.01,2,0,0,60427.3,0
216,15723524,AP Watson,668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1
217,15680956,AP Marchesi,695,France,Male,46,7,49512.55,1,1,0,133007.34,0
218,15786344,AP Millar,730,Spain,Female,33,9,0,2,0,0,176576.62,0
219,15659402,AP Shih,807,France,Male,43,1,105799.32,2,1,0,34888.04,1
220,15774890,AP Fuller,592,France,Male,54,8,0,1,1,1,28737.71,1
221,15725347,AP Hay,726,France,Female,31,9,114722.05,2,1,1,98178.57,0
222,15787191,AP Yang,514,Spain,Male,30,7,0,1,0,1,125010.24,0
223,15727865,AP McIntyre,567,France,Male,42,2,0,2,1,1,167984.61,0
224,15733283,AP Stevenson,850,France,Male,33,10,0,1,1,0,4861.72,1
225,15568784,AP Poole,671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1
226,15699065,AP Bagley,670,France,Male,37,4,170557.91,2,1,0,198252.88,0
227,15774429,AP Ch'ien,694,France,Female,30,9,0,2,1,1,26960.31,0
228,15676931,AP Cattaneo,547,Germany,Female,39,6,74596.15,3,1,1,85746.52,1
229,15637789,AP O'Sullivan,751,Germany,Male,50,2,96888.39,1,1,0,77206.25,1
230,15605497,AP Lucas,594,Germany,Female,29,3,130830.22,1,1,0,61048.53,0
231,15808509,AP Ringrose,673,France,Male,72,1,0,2,0,1,111981.19,0
232,15627036,AP Freeman,610,France,Male,40,0,0,2,1,0,62232.6,0
233,15787210,AP Sergeyev,512,France,Female,37,1,0,2,0,1,156105.03,0
234,15723922,AP Fiore,767,Germany,Male,20,3,119714.25,2,0,1,150135.38,0
235,15704805,AP Smith,585,France,Female,67,5,113978.97,2,0,1,93146.11,0
236,15772932,AP Dumetochukwu,763,Germany,Male,42,6,100160.75,1,1,0,33462.94,1
237,15711576,AP Pacheco,712,France,Female,29,2,0,1,1,1,144375,0
238,15764902,AP Synnot,539,Germany,Female,43,3,116220.5,3,1,0,55803.96,1
239,15794092,AP Johnston,668,France,Female,46,2,0,3,1,0,89048.46,1
240,15795185,AP Stevens,703,France,Male,28,2,81173.83,2,0,1,162812.16,0
241,15812045,AP Grant,662,Spain,Male,38,4,0,2,1,0,136259.65,0
242,15651037,AP Tsao,725,Germany,Female,39,5,116803.8,1,1,0,124052.97,0
243,15813880,AP Barnes,703,France,Male,37,8,105961.68,2,0,1,74158.8,0
244,15596211,AP McIntosh,659,Germany,Male,67,6,117411.6,1,1,1,45071.09,1
245,15576305,AP Madison,523,Spain,Male,34,7,0,2,1,0,62030.06,0
246,15797255,AP Ifesinachi,635,France,Female,40,10,123497.58,1,1,0,131953.23,1
247,15685536,AP Glazkov,772,Germany,Male,26,7,152400.51,2,1,0,79414,0
248,15599828,AP Dimauro,545,France,Female,26,1,0,2,1,1,199638.56,0
249,15657602,AP Wieck,634,Germany,Male,24,8,103097.85,1,1,1,157577.29,0
250,15772459,AP Liao,739,Germany,Male,54,8,126418.14,1,1,0,134420.75,1
251,15628148,AP Hughes,771,Germany,Female,36,5,77846.9,1,0,0,99805.99,0
252,15753790,AP Morrison,587,Spain,Female,34,1,0,2,1,1,97932.68,0
253,15793762,AP Matveyeva,681,France,Female,79,0,0,2,0,1,170968.99,0
254,15694753,AP Ku,544,Germany,Male,37,2,79731.91,1,1,1,57558.95,0
255,15665870,AP Cheatham,696,Spain,Male,28,8,0,1,0,0,176713.47,0
256,15765333,AP Yao,766,Spain,Male,41,0,0,2,0,1,34283.23,0
257,15636720,AP Kirkland,727,France,Male,34,10,0,2,1,1,198637.34,0
258,15593015,AP Rose,671,Germany,Female,34,6,37266.67,2,0,0,156917.12,0
259,15750839,AP Jess,693,France,Female,30,6,127992.25,1,1,1,50457.2,0
260,15607214,AP Welch,850,Germany,Male,38,3,54901.01,1,1,1,140075.55,0
261,15713889,AP Ifeajuna,732,Germany,Male,42,9,108748.08,2,1,1,65323.11,0
262,15673517,AP Morton,726,Spain,Female,48,6,99906.19,1,1,0,64323.24,0
263,15686812,AP Rossi,557,France,Female,32,6,184686.41,2,1,0,14956.44,0
264,15673729,AP Reppert,682,France,Female,26,0,110654.02,1,0,1,111879.21,0
265,15700732,AP Kang,738,Spain,Male,31,9,79019.8,1,1,1,18606.23,0
266,15813199,AP Ch'iu,531,Spain,Female,36,9,99240.51,1,1,0,123137.01,0
267,15653893,AP Wallis,498,France,Male,34,2,0,2,1,1,148528.24,0
268,15777112,AP Clark,651,France,Male,36,7,0,2,1,0,13898.31,0
269,15717434,AP Fielding,549,Spain,Female,39,7,0,1,0,0,81259.25,1
270,15799253,AP Zetticci,791,Germany,Female,35,7,52436.2,1,1,0,161051.75,0
271,15787107,AP Dulhunty,650,Spain,Male,41,9,0,2,0,1,191599.67,0
272,15619991,AP Bevington,733,Germany,Male,34,3,100337.96,3,1,0,48559.19,1
273,15796541,AP Boyle,811,Germany,Female,34,1,149297.19,2,1,1,186339.74,0
274,15725202,AP Newton,707,France,Male,30,8,0,2,1,0,33159.37,0
275,15800152,AP Bowman,712,Germany,Male,28,4,145605.44,1,0,1,93883.53,0
276,15758721,AP Dubinina,706,Spain,Female,37,7,0,2,1,1,110899.3,0
277,15694492,AP Toscani,756,France,Male,62,3,0,1,1,1,11199.04,1
278,15767375,AP Chiazagomekpere,777,France,Female,53,10,0,2,1,0,189992.97,0
279,15683598,AP Allen,646,France,Male,35,6,84026.86,1,0,1,164255.69,0
280,15782246,AP K'ung,714,France,Male,46,1,0,1,1,0,152167.79,1
281,15668929,AP Wilsmore,782,France,Male,39,8,0,2,1,1,33949.67,0
282,15669205,AP Hargreaves,775,Spain,Male,29,10,0,2,1,1,68143.93,0
283,15643060,AP Huang,479,Germany,Male,35,4,138718.92,1,1,1,47251.79,1
284,15699425,AP Ch'ien,807,France,Male,42,7,118274.71,1,1,1,25885.72,0
285,15708644,AP Wallwork,799,France,Female,22,8,174185.98,2,0,1,192633.85,0
286,15626180,AP Chu,675,France,Male,40,7,113208.86,2,1,0,34577.36,0
287,15573148,AP Kang,602,Spain,Male,29,5,103907.28,1,1,0,161229.84,0
288,15790714,AP Davidson,475,France,Female,32,8,119023.28,1,1,0,100816.29,0
289,15727592,AP O'Donnell,744,Spain,Female,26,5,166297.89,1,1,1,181694.44,0
290,15697343,AP Nnachetam,588,Spain,Male,34,10,0,2,1,0,79078.91,0
291,15652302,AP Chidiebele,703,Germany,Male,42,9,63227,1,0,1,137316.32,0
292,15607134,AP Ahmed,747,Spain,Female,41,5,94521.17,2,1,0,194926.86,0
293,15655810,AP Booth,583,France,Male,27,7,0,2,1,0,51285.49,0
294,15590277,AP Chuang,750,Spain,Female,34,9,112822.26,1,0,0,150401.53,1
295,15785855,AP Shao,681,France,Male,38,3,0,2,1,1,112491.96,0
296,15723690,AP Tsao,773,France,Male,25,2,135903.33,1,1,0,73656.38,0
297,15774546,AP Tien,714,France,Female,31,4,125169.26,1,1,1,106636.89,0
298,15684209,AP Chang,687,Spain,Female,44,7,0,3,1,0,155853.52,1
299,15650104,AP Johnson,511,France,Male,58,0,149117.31,1,1,1,162599.51,0
300,15811526,AP French,627,France,Male,33,5,0,2,1,1,103737.82,0
301,15804012,AP Efremov,694,France,Female,31,10,0,2,1,0,160990.27,0
302,15682577,AP Hartley,616,Spain,Female,36,6,132311.71,1,0,0,15462.84,0
303,15695735,AP Calabrese,687,France,Male,35,8,0,2,1,0,10334.05,0
304,15624224,AP Chiu,712,France,Female,33,6,0,2,1,1,190686.16,0
305,15812227,AP Brennan,553,France,Male,33,4,118082.89,1,0,0,94440.45,0
306,15636709,AP Onwuatuegwu,667,France,Male,31,1,119266.69,1,1,1,28257.63,0
307,15594934,AP Hewitt,731,France,Male,43,2,0,1,1,1,170034.95,1
308,15660247,AP Shih,629,Germany,Male,35,7,156847.29,2,1,0,31824.29,0
309,15774008,AP Balashov,614,France,Male,50,4,137104.47,1,1,0,127166.49,1
310,15746762,AP Doyle,438,Germany,Male,31,8,78398.69,1,1,0,44937.01,0
311,15712323,AP Pokrovskii,652,France,Female,80,4,0,2,1,1,188603.07,0
312,15702955,AP Collins,729,Germany,Male,30,6,63669.42,1,1,0,145111.37,0
313,15674434,AP Russo,642,France,Male,38,3,0,2,0,0,171463.83,0
314,15797996,AP Skinner,806,Germany,Female,59,0,135296.33,1,1,0,182822.5,0
315,15631904,AP Robertson,744,Spain,Male,36,2,153804.44,1,1,1,87213.33,0
316,15581575,AP Atkinson,474,Spain,Male,37,3,0,2,0,0,57175.32,0
317,15662772,AP Doyle,559,France,Male,49,2,147069.78,1,1,0,120540.83,1
318,15666288,AP Ritchie,706,Spain,Male,42,9,0,2,1,1,28714.34,0
319,15677548,AP McEncroe,628,Spain,Female,22,3,0,1,1,0,85426.28,0
320,15626150,AP Pearson,429,France,Male,24,4,95741.75,1,1,0,46170.75,0
321,15810870,AP Gordon,525,Spain,Female,57,2,145965.33,1,1,1,64448.36,0
322,15678946,AP Ts'ai,680,France,Female,30,8,141441.75,1,1,1,16278.97,0
323,15694444,AP Lung,749,France,Male,40,1,139290.41,1,1,0,182855.42,1
324,15585251,AP Yuan,763,France,Female,31,4,0,2,0,0,50404.72,0
325,15682793,AP Pardey,734,France,Male,30,3,0,2,1,0,107640.25,0
326,15736637,AP Tai,716,France,Male,35,4,144428.87,1,1,0,134132.65,0
327,15601884,AP Scott,594,France,Male,35,2,0,2,1,0,103480.69,0
328,15736044,AP Hunter,644,France,Female,46,9,95441.27,1,1,0,108761.05,1
329,15669100,AP Mazzanti,671,Germany,Male,35,1,144848.74,1,1,1,179012.3,0
